Method,LLaMA2-7B Mean A_jj,LLaMA2-7B Mean A_Tj,LLaMA2-7B Mean BWT,T5-Large Mean A_jj,T5-Large Mean A_Tj,T5-Large Mean BWT
LoRA,57.62,35.18,-22.01,60.48,13.57,-46.63
O-LoRA,45.63,35.82,-9.7,45.1,22.18,-22.78
N-LoRA,44.56,35.87,-8.93,48.94,18.93,-29.83
HydraLoRA,56.47,35.82,-20.27,60.03,15.96,-43.89
C-LoRA,53.71,41.79,-11.65,56.88,25.01,-32.06
EWC,48.06,40.4,-7.7,41.59,35.15,-7.32
Replay,45.51,40.55,-5.2,50.25,38.28,-12.44
LoRM,53.68,39.48,-13.96,56.8,22.06,-34.76
RieSelect,55.62,58.43,2.92,57.42,59.34,2.05
A-GEM,57.13,46.11,-10.67,59.6,25.66,-33.7
PILoRA,57.61,30.92,-26.49,59.67,15.59,-43.95
